Index,B cells,Epithelial cells,Mast cells,Myeloids,Stromal cells,T cells
MARS,0.20372497,0.46454442,0.014556198,0.07616311,0.14124495,0.050642107
MARS2,0.0058982987,0.077874914,0.0062515317,0.0017973491,0.008403306,0.0039163963
MARVELD1,0.0033569753,0.13396768,0.0071512386,0.069284186,0.3826028,0.00029918633
MARVELD2,0.0039799944,0.33231154,0.0057309903,0.0023091016,0.005878223,0.00030425558
MARVELD3,0.0029396152,0.64546025,0.006301346,0.0025641036,0.0075614606,0.00065611023
MAS1,0.0005926784,0.0044628214,0.0070885047,0.004830452,0.002612891,0.00019079285
MASP1,0.00016292468,7.8100056e-05,0.007555982,0.0001902874,0.045342617,6.6789515e-05
MAST1,0.0005110547,0.019003414,0.0060698073,0.00073698204,0.002506818,0.00045194125
MAST2,0.013198065,0.25285622,0.006148036,0.021501428,0.07968687,0.0043708663
MAST3,0.02254876,0.072819024,0.0062313825,0.032490924,0.03497437,0.015239603
MAST4,0.04783025,0.38561314,0.2979698,0.018147867,0.5264623,0.13710187
MAST4-AS1,0.00023066458,0.024279596,0.0062853824,0.00027047534,0.0044631492,0.00014727275
MASTL,0.016476499,0.08293373,0.020030914,0.05244784,0.03448468,0.021575447
MAT1A,0.00017044095,0.011650755,0.007184573,0.00017584703,0.00019529533,4.867201e-05
MAT2A,0.18059255,0.8841874,0.28743416,0.4530874,0.73248965,0.15453254
MAT2B,0.14084837,0.5327849,0.10529569,0.1827757,0.2795738,0.1541754
MATK,0.0071617,0.0017995838,0.09481122,0.1401535,0.009884407,0.12186011
MATN1,0.008564318,0.00021986889,0.006118433,0.0005150048,0.00079180906,0.00031375268
MATN1-AS1,0.018138384,0.017287467,0.011088818,0.0010385272,0.0041669817,0.0023046364
MATN2,0.005098828,0.10631382,0.0065191644,0.0012755189,1.0644433,0.0011601404
MATN3,0.00030309314,0.004709523,0.012617046,0.001141531,0.20229766,6.710401e-05
MATN4,0.0003014145,0.014065328,0.005903046,0.0009300781,0.006251625,0.0001064925
MAU2,0.024415083,0.140363,0.008954308,0.028809879,0.0905313,0.016752016
MAVS,0.028987937,0.5904442,0.03051563,0.055303916,0.17379707,0.024023458
MAX,0.19210233,0.82869035,0.16095208,0.31119627,0.4937179,0.15905167
MAZ,0.12153925,1.4208537,0.029119,0.16085207,0.46273503,0.13173188
MB,0.00026604504,0.06467849,0.008057758,0.00029734938,0.0020768803,0.0006177863
MB21D2,0.058334004,0.036935765,0.006483176,0.09136721,0.064122394,0.0075112474
MBD1,0.083578,0.2713475,0.042115986,0.055331465,0.17394236,0.04044598
MBD2,0.1073676,0.5049046,0.013758039,0.25380865,0.21775404,0.060838707
MBD3,0.02435141,0.33066225,0.009081439,0.07437218,0.18353763,0.01284621
MBD4,0.22193602,0.42654458,0.20387478,0.15458944,0.26216054,0.14203516
MBD5,0.035988733,0.11242379,0.01854402,0.023352012,0.11830993,0.03712967
MBD6,0.02923272,0.23622325,0.010007184,0.036575127,0.101273686,0.012885564
MBIP,0.037977632,0.25309417,0.036076102,0.020624986,0.16825223,0.039944842
MBLAC1,0.00614124,0.034616984,0.0069935364,0.0036677604,0.017770063,0.0012811106
MBLAC2,0.0024547023,0.035505895,0.0064778416,0.0021569903,0.026804073,0.00074496405
MBNL1,0.25667325,0.72075635,0.20805505,0.64840597,0.68352765,0.50266033
MBNL1-AS1,0.0051486962,0.07124459,0.006432605,0.034326605,0.063214466,0.024215039
MBNL2,0.13989882,0.41489512,0.018358491,0.061303623,0.36285666,0.030652482
MBNL3,0.023923296,0.06575852,0.038167488,0.022307483,0.0143532725,0.005122281
MBOAT1,0.00089078717,0.012308666,0.006158389,0.0005645291,0.005290583,0.0043453914
MBOAT2,0.0027284643,0.49077678,0.0065976116,0.019210607,0.12348181,0.0013763623
MBOAT7,0.041085303,0.7196792,0.21799189,0.2758355,0.22691555,0.04085686
MBP,0.17794386,0.36430523,0.06643692,0.21646084,0.11928076,0.22467679
MBTD1,0.016398372,0.122554235,0.010458094,0.012204889,0.049483486,0.006399123
MBTPS1,0.17796503,0.41502243,0.02257289,0.0752948,0.4124172,0.05975508
MBTPS2,0.012283668,0.1382135,0.009957183,0.025030958,0.058430463,0.0028534718
MC1R,0.0028471563,0.028296048,0.024669103,0.0032402189,0.024919782,0.0005947088
MC4R,0.00040010794,6.709196e-05,0.020110201,0.00017810335,0.00031165,5.137791e-05
MCAM,0.007588733,0.0036152396,0.010535741,0.0010628363,1.1428572,0.024171054
MCAT,0.02695592,0.40564734,0.01865862,0.017971346,0.10929457,0.019145833
MCC,0.016864821,0.0016894758,0.01625929,0.003987396,0.20500045,0.0025616265
MCCC1,0.025239363,0.22795612,0.010526468,0.03058873,0.06752633,0.0111986315
MCCC2,0.0677153,0.5748657,0.018261584,0.051579222,0.08201887,0.035102334
MCEE,0.11927029,0.24907802,0.014907865,0.029808126,0.1710663,0.010186373
MCEMP1,0.0032340833,0.0002901517,0.0062109856,0.42115495,0.002257137,0.0015324627
MCF2,0.00021201554,0.00056509057,0.006830987,0.0005846874,0.00122068,6.980268e-05
MCF2L,0.0027268562,0.20437633,0.005494124,0.0029423935,0.1689366,0.0009828513
MCF2L-AS1,0.005291019,0.17118108,0.006079412,0.00038887287,0.0023525811,0.00055948447
MCF2L2,0.00061847677,0.0013229861,0.0060894745,0.0052136593,0.004818099,0.014865573
MCFD2,0.16423437,0.8045955,0.05985806,0.22347334,0.529975,0.05301504
MCHR1,0.00013214377,0.00010964566,0.013200587,0.00018012233,0.014142893,5.36394e-05
MCIDAS,0.0001246856,0.0013856039,0.006465887,0.00017962794,0.0001769807,5.030628e-05
MCL1,4.165401,6.800753,2.3923495,4.0349517,4.3720393,1.8460453
MCM10,0.0010218536,0.058373097,0.0070407726,0.003553911,0.010636876,0.00063272926
MCM2,0.004609774,0.22175483,0.010191985,0.02049428,0.032986004,0.0076809004
MCM3,0.028842771,0.5945467,0.0180532,0.047930535,0.21501562,0.044445027
MCM3AP,0.03083642,0.19221757,0.013352888,0.06425607,0.10401626,0.021455286
MCM3AP-AS1,0.0012465052,0.031980112,0.0070133638,0.0009200141,0.0041514244,0.000544311
MCM4,0.01261216,0.43597078,0.027870039,0.040382016,0.05698802,0.015181973
MCM5,0.097471334,0.349937,0.031499855,0.1305851,0.11267496,0.053715788
MCM6,0.024329564,0.25164762,0.00740906,0.042794317,0.090617314,0.072166696
MCM7,0.071586825,1.1809031,0.019275114,0.071581356,0.23312542,0.04509966
MCM8,0.005628659,0.13974245,0.0068523344,0.005042559,0.022447413,0.0033753177
MCM9,0.007277712,0.045602508,0.014941113,0.010114823,0.019858636,0.0076818126
MCMBP,0.08363248,0.5600078,0.04852537,0.1212293,0.34122732,0.077407464
